what 什么  
is 是  
what's what is的缩写形式 
your 你的,你们的  
name 名字  
my 我的  
I 我  
am 是  
I'm I am的缩写形式 
in 在...里(内,上)  
row (一)排,(一)行  
one 一  
number 数字,号码  
two 二  
too 也  
three 三  
are 是  
you 你,你们  
yes 是  
four 四  
five 五  
no 不,不是  
not 不  
hi 喂(问候或唤起注意)  
class (学校里的)班级,年级  
grade 年级  
six 六  
seven 七  
eight 八  
nine 九  
ten 十  
zero 零  
plus 加,加上  
it 它  
it's it is的缩写形式 
how (指程度)多少,怎样  
old ...岁的,老的  
eleven 十一  
twelve 十二  
minus 减,减去  
thirteen 十三  
fourteen 十四  
fifteen 十五  
hello 喂(问候或唤起注意)  
please 请  
can 能,可以,会  
spell 拼写  
that 那,那个  
secret 秘密  
this 这,这个  
in 用...(表达)  
English 英语,英国人  
in English 用英语(表达) 
a 一(个,件...)  
clock 钟  
and 和,又,而  
pencil-box 铅笔盒  
an 一(个;件.)(用于元音开头的词前)  
pencil 铅笔  
ruler 尺子  
pen 钢笔  
sharpener 卷笔刀  
eraser 橡皮擦  
room 房间  
book 书  
map 地图  
desk 书桌  
cup 杯子  
bag 书包  
computer 电脑,电子计算机  
mouse 鼠,耗子,鼠标  
bed 床  
keyboard 键盘  
isn't is not的缩写形式 
pear 梨  
cake 蛋糕,饼,糕  
banana 香蕉  
apple 苹果  
orange 橙子,橘子  
egg 蛋  
bike 自行车  
bus 公共汽车  
car 汽车,小汽车  
jeep 吉普车  
Chinese 中国的,中国人的  
Japanese 日本的,日本人的  
look 瞧,看  
who 谁  
she 她  
he 他  
bird 鸟  
its 它的  
do (构成否定句,疑 问句的助动词) 
don't do not的缩写形式 
know 知道,懂得  
think 想,认为  
Mr=mister 先生(用于姓名前)  
very 很,非常  
picture 图画,照片  
Mrs 夫人  
boy 男孩  
girl 女孩  
woman 妇女,女人  
man 男人,人  
cat 猫  
his 他的  
teacher 教师  
her 她的  
everyone 每人,人人  
here 这里,这儿  
today 今天  
at 在  
school 学校  
at school 在学校 
sorry 对不起,抱歉的  
where 在哪里  
home 家  
at home 在家 
How are you? 你(身体)好吗?
fine (身体)好的  
thanks 谢谢(只用复数)  
OK (口语)好,对,不错,可以  
thank 谢谢  
goodbye 再见,再会  
bye 再见  
parrot 鹦鹉  
sister 姐,妹  
father 父亲  
mother 母亲  
box 盒子,箱子  
excuse 原谅  
me 我  
Here you are. 给你
but 但是  
these 这些  
they 他(她,它)们  
good 好的  
those 那些  
boat 船  
hill 小山  
tree 树  
their 他们(她们,它们)的  
much 多,很,非常  
very much 很,非常 
all 都,完全  
right 对的,正确的  
all right 好,行,不错 
mum (口语)妈妈  
friend 朋友  
brother 兄,弟  
nice 令人愉快的  
to (表示方向)到,向 动词不定式符号 
meet 见面,会面,遇见  
child 小孩  
children child的复数形式  
welcome 欢迎  
our 我们的  
come 来  
come in 进来,进入 
morning 早晨,上午  
class 同一个班的学生  
on 在,在...上  
duty 职责,责任  
on duty 值日 
we 我们  
aren't are not的缩写形式 
have 有  
new 新的  
student 学生  
twin 双胞胎之一  
look 看上去,显得  
the 这(那)个,这(那)些  
same 同样的,同一的  
look the same 看起来很像
America 美国人(的)  
sit 坐  
down 向下  
sit down 坐下 
over 在那边,在另一边  
there 那里,那儿  
over there 在那边 
after 在...以后,在...后面  
look after 照顾,照看 
Miss 女士,小姐(对未婚妇女的称呼)  
way 路,道路  
This way,please. 请走这边 
put 放  
coat 外套,上衣  
them 他(她,它)们  
washroom 盥洗室,厕所  
let 让  
us 我们  
let's let us的缩写形式 
go 去  
Let's go. 我们一起去 
classmate 同班同学  
nice 好的,漂亮的  
love 爱,喜爱  
No. number的缩写形式  
